,piece,current_position,next_position,skip,reward
323,"(255, 0, 0)","(2, 3)","(1, 4)",-,0
324,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
325,"(255, 0, 0)","(0, 3)","(1, 2)",-,0
326,"(255, 0, 0)","(1, 2)","(0, 3)",-,4
327,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
328,"(255, 0, 0)","(1, 4)","(2, 3)",-,0
329,"(255, 0, 0)","(2, 3)","(1, 4)",-,0
330,"(255, 0, 0)","(1, 4)","(0, 5)",-,4
331,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
332,"(255, 0, 0)","(1, 6)","(2, 5)",-,0
333,"(255, 0, 0)","(2, 5)","(3, 4)",-,0
334,"(255, 0, 0)","(3, 4)","(2, 5)",-,0
335,"(255, 0, 0)","(2, 5)","(1, 6)",-,0
336,"(255, 0, 0)","(1, 6)","(2, 5)",-,0
337,"(255, 0, 0)","(2, 5)","(1, 6)",-,0
338,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
339,"(255, 0, 0)","(0, 5)","(1, 4)",-,0
340,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
341,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
342,"(255, 0, 0)","(1, 4)","(2, 5)",-,0
343,"(255, 0, 0)","(2, 5)","(1, 6)",-,0
344,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
345,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
346,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
347,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
348,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
349,"(255, 0, 0)","(0, 5)","(1, 4)",-,0
350,"(255, 0, 0)","(1, 4)","(2, 5)",-,0
351,"(255, 0, 0)","(2, 5)","(3, 4)",-,0
352,"(255, 0, 0)","(3, 4)","(2, 3)",-,0
353,"(255, 0, 0)","(2, 3)","(1, 2)",-,0
354,"(255, 0, 0)","(1, 2)","(0, 3)",-,4
355,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
356,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
357,"(255, 0, 0)","(0, 3)","(1, 2)",-,0
358,"(255, 0, 0)","(1, 2)","(0, 1)",-,4
359,"(255, 0, 0)","(0, 1)","(1, 2)",-,0
360,"(255, 0, 0)","(1, 2)","(2, 1)",-,0
361,"(255, 0, 0)","(2, 1)","(1, 2)",-,0
